feature,importance_mean,importance_std
block,0.277938,0.005775
day_of_year,0.195112,0.003384
day_of_week,0.059173,0.002725
hour,0.006689,0.000985
month,0.002315,0.000956
day,0.001624,0.001354
is_weekend,0.000114,0.000242
minute,0.0,0.0
year,0.0,0.0
quarter,0.0,0.0
