column,count,mean,std,min,25%,50%,75%,max
block,173304.0,48.495,27.7128,1.0,24.0,48.0,72.0,96.0
demand,173304.0,1352.6502,277.8383,519.28,1155.1503,1355.47,1549.95,2268.14
