datetime,demand,z_score,abs_z_score
2024-05-21 15:15:00,2268.14,3.295054472549249,3.295054472549249
2024-05-21 15:30:00,2266.14,3.287856021408094,3.287856021408094
2024-05-21 15:00:00,2259.73,3.264784985500694,3.264784985500694
2024-05-21 15:45:00,2255.32,3.2489124007344485,3.2489124007344485
2024-06-06 15:15:00,2247.57,3.2210184025624744,3.2210184025624744
2024-06-06 15:30:00,2246.09,3.21569154871802,3.21569154871802
2024-05-21 14:45:00,2241.56,3.199387056883304,3.199387056883304
2024-05-21 16:00:00,2239.8,3.1930524198790886,3.1930524198790886
2024-06-06 15:00:00,2234.15,3.1727167954053264,3.1727167954053264
2024-06-06 15:45:00,2232.73,3.1676058950951065,3.1676058950951065
2024-05-22 15:15:00,2227.79,3.1498257207764544,3.1498257207764544
2024-05-22 15:30:00,2225.43,3.1413315484298914,3.1413315484298914
2024-05-22 15:00:00,2224.45,3.1378043073707254,3.1378043073707254
2024-05-21 16:15:00,2221.76,3.1281223905858737,3.1281223905858737
2024-06-06 14:45:00,2215.81,3.106706998440938,3.106706998440938
2024-05-22 14:45:00,2214.01,3.1002283924138996,3.1002283924138996
2024-05-22 15:45:00,2212.35,3.0942536779667402,3.0942536779667402
2024-06-06 16:00:00,2211.13,3.0898626227706365,3.0898626227706365
2024-05-21 14:30:00,2209.52,3.0840678696020065,3.0840678696020065
2024-06-05 15:30:00,2198.02,3.0426767755403676,3.0426767755403676
2024-05-22 16:00:00,2195.49,3.033570734846806,3.033570734846806
2024-05-21 16:30:00,2189.94,3.013595032930103,3.013595032930103
2024-06-05 15:15:00,2189.85,3.0132711026287504,3.0132711026287504
2024-06-04 15:45:00,2189.35,3.011471489843462,3.011471489843462
2024-06-04 15:30:00,2189.03,3.010319737660878,3.010319737660878
2024-05-22 14:30:00,2188.1,3.00697245788024,3.00697245788024
2024-06-05 15:45:00,2187.5,3.004812922537894,3.004812922537894
2024-06-06 16:15:00,2186.53,3.001321673734435,3.001321673734435
